display_name,name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating,img
Golden Crisp,golden_crisp,P,C,100,2,0,45,0,11,15,40,25,1,1,0.88,35.252444,golden_crisp
Smacks,smacks,K,C,110,2,1,70,1,9,15,40,25,2,1,0.75,31.230054,smacks
Apple Jacks,apple_jacks,K,C,110,2,0,125,1,11,14,30,25,2,1,1,33.174094,apple_jacks
Total Raisin Bran,total_raisin_bran,G,C,140,3,1,190,4,15,14,230,100,3,1.5,1,28.592785,total_raisin_bran
Froot Loops,froot_loops,K,C,110,2,1,125,1,11,13,30,25,2,1,1,32.207582,froot_loops
Mueslix,mueslix,K,C,160,3,2,150,3,17,13,160,25,3,1.5,0.67,30.313351,mueslix
Cocoa Puffs,cocoa_puffs,G,C,110,1,1,180,0,12,13,55,25,2,1,1,22.736446,cocoa_puffs
Count Chocula,count_chocula,G,C,110,1,1,180,0,12,13,65,25,2,1,1,22.396513,count_chocula
Cap'n'Crunch,cap_n_crunch,Q,C,120,1,2,220,0,12,12,35,25,2,1,0.75,18.042851,cap_n_crunch
Fruity Pebbles,fruity_pebbles,P,C,110,1,1,135,0,13,12,25,25,2,1,0.75,28.025765,fruity_pebbles
Corn Pops,corn_pops,K,C,110,1,0,90,1,13,12,20,25,2,1,1,35.782791,corn_pops
Raisin Bran,raisin_bran,K,C,120,3,1,210,5,14,12,240,25,2,1.33,0.75,39.259197,raisin_bran
Lucky Charms,lucky_charms,G,C,110,2,1,180,0,12,12,55,25,2,1,1,26.734515,lucky_charms
Trix,trix,G,C,110,1,1,140,0,13,12,25,25,2,1,1,27.753301,trix
Honey Graham Ohs,honey_graham_ohs,Q,C,120,1,2,220,1,12,11,45,25,2,1,1,21.871292,honey_graham_ohs
Honey-comb,honey_comb,P,C,110,1,0,180,0,14,11,35,25,1,1,1.33,28.742414,honey_comb
Frosted Flakes,frosted_flakes,K,C,110,1,0,200,1,14,11,25,25,1,1,0.75,31.435973,frosted_flakes
Apple Cinnamon Cheerios,apple_cinnamon_cheerios,G,C,110,2,2,180,1.5,10.5,10,70,25,1,1,0.75,29.509541,apple_cinnamon_cheerios
Honey Nut Cheerios,honey_nut_cheerios,G,C,110,3,1,250,1.5,11.5,10,90,25,1,1,0.75,31.072217,honey_nut_cheerios
Oatmeal Raisin Crisp,oatmeal_raisin_crisp,G,C,130,3,2,170,1.5,13.5,10,120,25,3,1.25,0.5,30.450843,oatmeal_raisin_crisp
Just Right Fruit & Nut,just_right_fruit_nut,K,C,140,3,1,170,2,20,9,95,100,3,1.3,0.75,36.471512,just_right_fruit_nut
Nut&Honey Crunch,nut_honey_crunch,K,C,120,2,1,190,0,15,9,40,25,2,1,0.67,29.924285,nut_honey_crunch
